Station,BoardAlight
Abbey Road,1184919
All Saints,1990905
Bank,30751761
Beckton,2640289
Beckton Park,379400
Blackwall,1840504
Bow Church,3251812
Canary Wharf,19035198
Canning Town High Level,16743119
Canning Town Low Level,5628327
London City Airport,4258091
Crossharbour,4127963
Custom House,4063117
Cutty Sark,6953684
Cyprus,1546555
Deptford Bridge,4377896
Devons Road,2115739
East India,3652706
Elverson Road,1808974
Gallions Reach,1113457
Greenwich,5343121
Heron Quays,7910911
Island Gardens,3113785
King George V,1566107
Langdon Park,3617416
Lewisham,11540741
Limehouse,8340291
Mudchute,2310829
Pontoon Dock,1124822
Poplar,2709860
Prince Regent,2811871
Pudding Mill Lane,766398
Royal Albert,1526402
Royal Victoria,4017497
Shadwell,8604277
South Quay,5300403
Star Lane,1337616
Stratford,17115201
Stratford (All),20726452
Stratford High Level,7853369
Stratford High Street,1060668
Stratford International,2550583
Stratford Low Level,9261832
Tower Gateway,4071950
West Ham,2848150
West India Quay,1326032
West Silvertown,1735565
Westferry,5904442
Woolwich Arsenal,12668239
